Category,Course Code,Course Name,Credits,URL
PSYC Electives,PSYC4050,History and Systems,,https://catalog.gatech.edu/search/?P=PSYC%204050
PSYC Electives,PSYC4090,Cognitive Neuroscience,,https://catalog.gatech.edu/search/?P=PSYC%204090
PSYC Electives,PSYC4100,Behavioral Pharmacology,,https://catalog.gatech.edu/search/?P=PSYC%204100
PSYC Electives,PSYC4200,Advanced Topics in Cognitive Psychology,,https://catalog.gatech.edu/search/?P=PSYC%204200
PSYC Electives,PSYC4260,Psychology of Aging,,https://catalog.gatech.edu/search/?P=PSYC%204260
PSYC Electives,PSYC4270,Psychological Testing,,https://catalog.gatech.edu/search/?P=PSYC%204270
PSYC Electives,PSYC4600,Senior Thesis I,,https://catalog.gatech.edu/search/?P=PSYC%204600
PSYC Electives,PSYC4697,Psychology Undergraduate Teaching Experience,,https://catalog.gatech.edu/search/?P=PSYC%204697
PSYC Electives,PSYC4699,Undergraduate Research,,https://catalog.gatech.edu/search/?P=PSYC%204699
Free Electives,Free Electives,32
Free Electives,Total Credit Hours,122
