Category,Course Code,Course Name,Credits,URL
Pre-Health Option,BIOS4012,Protein Biology,,https://catalog.gatech.edu/search/?P=BIOS%204012
Pre-Health Option,BIOS4015,Cancer Biology and Biotechnology,,https://catalog.gatech.edu/search/?P=BIOS%204015
Pre-Health Option,BIOS 4150/BIOL6150,Genomics and Applied Bioinformatics,,https://catalog.gatech.edu/search/?P=BIOS%204150
Pre-Health Option,BIOS4200,Kinesiological Basis of Human Movement,,https://catalog.gatech.edu/search/?P=BIOS%204200
Pre-Health Option,BIOS 4238/APPH6238,Ion Channels,,https://catalog.gatech.edu/search/?P=BIOS%204238
Pre-Health Option,BIOS4340,Medical Microbiology,,https://catalog.gatech.edu/search/?P=BIOS%204340
Pre-Health Option,BIOS4400,Human Neuroanatomy,,https://catalog.gatech.edu/search/?P=BIOS%204400
Pre-Health Option,BIOS4401,Experimental Design and Statistical Methods in Biological Sciences,,https://catalog.gatech.edu/search/?P=BIOS%204401
Pre-Health Option,BIOS4440,Human Pathology,,https://catalog.gatech.edu/search/?P=BIOS%204440
Pre-Health Option,BIOS4464,Developmental Biology,,https://catalog.gatech.edu/search/?P=BIOS%204464
Pre-Health Option,BIOS4471,Behavioral Biology,,https://catalog.gatech.edu/search/?P=BIOS%204471
Pre-Health Option,BIOS4500,Drug Discovery,,https://catalog.gatech.edu/search/?P=BIOS%204500
Pre-Health Option,BIOS 4510/BIOL8510,Epigenetics,  Stem Cells, and Development,,https://catalog.gatech.edu/search/?P=BIOS%204510
Pre-Health Option,BIOS4520,Health Genes Society,,https://catalog.gatech.edu/search/?P=BIOS%204520
Pre-Health Option,BIOS 4530/BIOL8530,Human Evolutionary Genomics,,https://catalog.gatech.edu/search/?P=BIOS%204530
Pre-Health Option,BIOS 4560/BIOL8560,RNA Biology and Biotechnology,,https://catalog.gatech.edu/search/?P=BIOS%204560
Pre-Health Option,BIOS4545,Genetics of Complex Human Traits and Diseases,,https://catalog.gatech.edu/search/?P=BIOS%204545
Pre-Health Option,BIOS4570,Immunology,,https://catalog.gatech.edu/search/?P=BIOS%204570
Pre-Health Option,BIOS 4607/BIOL6607,Molecular Biology of Microbes: Disease, Nature, and Biotechnology,,https://catalog.gatech.edu/search/?P=BIOS%204607
Pre-Health Option,BIOS4651,Bioethics,,https://catalog.gatech.edu/search/?P=BIOS%204651
Pre-Health Option,BMED3100,Systems Physiology,,https://catalog.gatech.edu/search/?P=BMED%203100
Pre-Health Option,BMED3600,Physiology of Cellular and Molecular Systems,,https://catalog.gatech.edu/search/?P=BMED%203600
Pre-Health Option,CHEM4521,Biophysical Chemistry,,https://catalog.gatech.edu/search/?P=CHEM%204521
Pre-Health Option,CHEM4765,Drug Design, Development, and Delivery,,https://catalog.gatech.edu/search/?P=CHEM%204765
Free Electives,Free Electives,10
Free Electives,Total Credit Hours,122
