Category,Course Code,Course Name,Credits,URL
Wellness,APPH1040,Scientific Foundations of Health,2,https://catalog.gatech.edu/search/?P=APPH%201040
Wellness,orAPPH1050,The Science of Physical Activity and Health,2,https://catalog.gatech.edu/search/?P=APPH%201050
Wellness,orAPPH1060,Flourishing: Strategies for Well-being and Resilience,2,https://catalog.gatech.edu/search/?P=APPH%201060
Core A - Essential Skills,ENGL1101,English Composition I,3,https://catalog.gatech.edu/search/?P=ENGL%201101
Core A - Essential Skills,ENGL1102,English Composition II,3,https://catalog.gatech.edu/search/?P=ENGL%201102
Core A - Essential Skills,MATH1552,Integral Calculus,4,https://catalog.gatech.edu/search/?P=MATH%201552
Core B - Institutional Options,CS1301,Introduction to Computing,3,https://catalog.gatech.edu/search/?P=CS%201301
Core C - Humanities,Any HUM,6,https://catalog.gatech.edu/academics/undergraduate/core-curriculum/core-area-c/#
Core D - Science, Math, & Technology,PHYS2211,Introductory Physics I,4,https://catalog.gatech.edu/search/?P=PHYS%202211
Core D - Science, Math, & Technology,PHYS2212,Introductory Physics II,4,https://catalog.gatech.edu/search/?P=PHYS%202212
Core D - Science, Math, & Technology,MATH1551,Differential Calculus,2,https://catalog.gatech.edu/search/?P=MATH%201551
Core D - Science, Math, & Technology,MATH1553,Introduction to Linear Algebra,2,https://catalog.gatech.edu/search/?P=MATH%201553
Core D - Science, Math, & Technology,orMATH1554,Linear Algebra,2,https://catalog.gatech.edu/search/?P=MATH%201554
Core D - Science, Math, & Technology,orMATH1564,Linear Algebra with Abstract Vector Spaces,2,https://catalog.gatech.edu/search/?P=MATH%201564
Core E - Social Sciences,Select one of the following:,3
Core E - Social Sciences,HIST2111,The United States to 1877,3,https://catalog.gatech.edu/search/?P=HIST%202111
Core E - Social Sciences,HIST2112,The United States since 1877,3,https://catalog.gatech.edu/search/?P=HIST%202112
Core E - Social Sciences,INTA1200,American Government in Comparative Perspective,3,https://catalog.gatech.edu/search/?P=INTA%201200
Core E - Social Sciences,POL1101,Government of the United States,3,https://catalog.gatech.edu/search/?P=POL%201101
Core E - Social Sciences,PUBP3000,American Constitutional Issues,3,https://catalog.gatech.edu/search/?P=PUBP%203000
Core E - Social Sciences,ECON2100,Economic Analysis and Policy Problems,3,https://catalog.gatech.edu/search/?P=ECON%202100
Core E - Social Sciences,PSYC1101,General Psychology,3,https://catalog.gatech.edu/search/?P=PSYC%201101
Core E - Social Sciences,Any SS,3,3
Core F - Courses Related to Major,CS2316,Data Manipulation for Science and Industry,3,https://catalog.gatech.edu/search/?P=CS%202316
Core F - Courses Related to Major,CS4400,Introduction to Database Systems,3,https://catalog.gatech.edu/search/?P=CS%204400
Core F - Courses Related to Major,MATH2551,Multivariable Calculus,4,https://catalog.gatech.edu/search/?P=MATH%202551
Core F - Courses Related to Major,orMATH2550,Introduction to Multivariable Calculus,4,https://catalog.gatech.edu/search/?P=MATH%202550
Core F - Courses Related to Major,orMATH2561,Honors Multivariable Calculus,4,https://catalog.gatech.edu/search/?P=MATH%202561
Core F - Courses Related to Major,MATH2106,Foundations of Mathematical Proof,3,https://catalog.gatech.edu/search/?P=MATH%202106
Core F - Courses Related to Major,ISYE3025,Essentials of Engineering Economy,1,https://catalog.gatech.edu/search/?P=ISYE%203025
Core F - Courses Related to Major,Lab Science,4
Core F - Courses Related to Major,Ethics Requirement,,https://catalog.gatech.edu/academics/undergraduate/core-curriculum/ethics/#
Core F - Courses Related to Major,Environmental Requirement,
Major Requirements,ACCT2101,Accounting I: Financial Accounting,3,https://catalog.gatech.edu/search/?P=ACCT%202101
Major Requirements,orMGT3000,Financial and Managerial Accounting,3,https://catalog.gatech.edu/search/?P=MGT%203000
Major Requirements,MATH3012,Applied Combinatorics,3,https://catalog.gatech.edu/search/?P=MATH%203012
Major Requirements,MATH3406,A Second Course in Linear Algebra,3,https://catalog.gatech.edu/search/?P=MATH%203406
Major Requirements,ISYE2027,Probability with Applications,3,https://catalog.gatech.edu/search/?P=ISYE%202027
Major Requirements,ISYE3030,Basic Statistical Methods,3,https://catalog.gatech.edu/search/?P=ISYE%203030
Major Requirements,ISYE3133,Engineering Optimization,3,https://catalog.gatech.edu/search/?P=ISYE%203133
Major Requirements,ISYE3232,Stochastic Manufacturing and Service Systems,3,https://catalog.gatech.edu/search/?P=ISYE%203232
Major Requirements,ISYE3044,Simulation Analysis and Design,3,https://catalog.gatech.edu/search/?P=ISYE%203044
Major Requirements,ISYE4031,Regression and Forecasting,3,https://catalog.gatech.edu/search/?P=ISYE%204031
Major Requirements,ISYE4106,Senior Design,4,https://catalog.gatech.edu/search/?P=ISYE%204106
Engineering Electives 8,9,Select one of the following:,3
Engineering Electives 8,9,ECE2020,Digital System Design,3,https://catalog.gatech.edu/search/?P=ECE%202020
Engineering Electives 8,9,ECE2026,Introduction to Signal Processing,3,https://catalog.gatech.edu/search/?P=ECE%202026
Engineering Electives 8,9,ECE3710&ECE3741,Circuits and Electronicsand Instrumentation and Electronics Lab,3,https://catalog.gatech.edu/search/?P=ECE%203710
Engineering Electives 8,9,Select at least 5 credits of the following:,5
Engineering Electives 8,9,Group 1,
Engineering Electives 8,9,AE2220,Dynamics,3,https://catalog.gatech.edu/search/?P=AE%202220
Engineering Electives 8,9,AE3450,Thermodynamics and Compressible Flow,3,https://catalog.gatech.edu/search/?P=AE%203450
Engineering Electives 8,9,BMED3100,Systems Physiology,3,https://catalog.gatech.edu/search/?P=BMED%203100
Engineering Electives 8,9,CHBE2100,Chemical Process Principles,3,https://catalog.gatech.edu/search/?P=CHBE%202100
Engineering Electives 8,9,CHBE2130,Chemical Engineering  Thermodynamics I,3,https://catalog.gatech.edu/search/?P=CHBE%202130
Engineering Electives 8,9,CHBE4763,Pulping and Chemical Recovery,3,https://catalog.gatech.edu/search/?P=CHBE%204763
Engineering Electives 8,9,CHBE4764,Bleaching and Papermaking,3,https://catalog.gatech.edu/search/?P=CHBE%204764
Engineering Electives 8,9,COE2001,Statics,3,https://catalog.gatech.edu/search/?P=COE%202001
Engineering Electives 8,9,COE3001,Mechanics of Deformable Bodies,3,https://catalog.gatech.edu/search/?P=COE%203001
Engineering Electives 8,9,CEE2040,Dynamics,3,https://catalog.gatech.edu/search/?P=CEE%202040
Engineering Electives 8,9,CEE2300,Environmental Engineering Principles,3,https://catalog.gatech.edu/search/?P=CEE%202300
Engineering Electives 8,9,CEE3010,Geomatics,3,https://catalog.gatech.edu/search/?P=CEE%203010
Engineering Electives 8,9,CEE4100,Construction Engineering and Management,3,https://catalog.gatech.edu/search/?P=CEE%204100
Engineering Electives 8,9,CEE4300,Environmental Engineering Systems,3,https://catalog.gatech.edu/search/?P=CEE%204300
Engineering Electives 8,9,CEE4600,Transportation Planning, Operations, and Design,3,https://catalog.gatech.edu/search/?P=CEE%204600
Engineering Electives 8,9,CS2110,Computer Organization and Programming,3,https://catalog.gatech.edu/search/?P=CS%202110
Engineering Electives 8,9,CS4641,Machine Learning,3,https://catalog.gatech.edu/search/?P=CS%204641
Engineering Electives 8,9,CS6505,Computability, Algorithms, and Complexity,3,https://catalog.gatech.edu/search/?P=CS%206505
Engineering Electives 8,9,CX4010,Computational Problem Solving for Scientists and Engineers,3,https://catalog.gatech.edu/search/?P=CX%204010
Engineering Electives 8,9,CX4240,Introduction to Computing for Data Analysis,3,https://catalog.gatech.edu/search/?P=CX%204240
Engineering Electives 8,9,CX4242,Data and Visual Analytics,3,https://catalog.gatech.edu/search/?P=CX%204242
Engineering Electives 8,9,ECE2020,Digital System Design,3,https://catalog.gatech.edu/search/?P=ECE%202020
Engineering Electives 8,9,ECE2026,Introduction to Signal Processing,3,https://catalog.gatech.edu/search/?P=ECE%202026
Engineering Electives 8,9,ECE2040,Circuit Analysis,3,https://catalog.gatech.edu/search/?P=ECE%202040
Engineering Electives 8,9,ECE3035,Mechanisms for Computing Systems,3,https://catalog.gatech.edu/search/?P=ECE%203035
Engineering Electives 8,9,ECE3076,Computer Communications,3,https://catalog.gatech.edu/search/?P=ECE%203076
Engineering Electives 8,9,ECE3090,Software Fundamentals for Engineering Systems,3,https://catalog.gatech.edu/search/?P=ECE%203090
Engineering Electives 8,9,ECE3710,Circuits and Electronics,3,https://catalog.gatech.edu/search/?P=ECE%203710
Engineering Electives 8,9,ECE3741,Instrumentation and Electronics Lab,3,https://catalog.gatech.edu/search/?P=ECE%203741
Engineering Electives 8,9,ECE4606,Wireless Communications,3,https://catalog.gatech.edu/search/?P=ECE%204606
Engineering Electives 8,9,ECE4823,Special Topics (Game Theory and Multiagent Systems),3,https://catalog.gatech.edu/search/?P=ECE%204823
Engineering Electives 8,9,ME2202,Dynamics of Rigid Bodies,3,https://catalog.gatech.edu/search/?P=ME%202202
Engineering Electives 8,9,ME3015,System Dynamics and Control,3,https://catalog.gatech.edu/search/?P=ME%203015
Engineering Electives 8,9,ME3322,Thermodynamics,3,https://catalog.gatech.edu/search/?P=ME%203322
Engineering Electives 8,9,ME3720,Introduction to Fluid and Thermal Engineering,3,https://catalog.gatech.edu/search/?P=ME%203720
Engineering Electives 8,9,ME4763,Pulping and Chemical Recovery,3,https://catalog.gatech.edu/search/?P=ME%204763
Engineering Electives 8,9,ME4764,Bleaching and Papermaking,3,https://catalog.gatech.edu/search/?P=ME%204764
